team,total atd 2012,total atd 2013,total atd 2014,total atd
Hawks,501593,620146,587927,1709666
Nets,460719,704702,707331,1872752
Celtics,614592,744960,742400,2101952
Hornets,486984,628293,636268,1751545
Bulls,731326,896944,890370,2518640
Cavaliers,525577,663882,710522,1899981
Mavericks,671050,821490,817982,2310522
Nuggets,561966,730616,692898,1985480
Pistons,475638,606094,615238,1696970
Warriors,622311,794320,803436,2220067
Rockets,506994,683564,743082,1933640
Pacers,467561,626069,717542,1811172
Clippers,634237,788293,787692,2210222
Lakers,626901,778877,771974,2177752
Grizzlies,518256,681613,685458,1885327
Heat,657855,819290,811036,2288181
Bucks,485717,616469,552967,1655153
Timberwolves,577197,669956,597157,1844310
Pelicans,498618,565930,672029,1736577
Knicks,652179,780353,812292,2244824
Thunder,600699,746323,746323,2093345
Magic,623587,721414,666046,2011047
76ers,577597,685412,568632,1831641
Suns,514718,632913,650739,1798370
Trail Blazers,676384,813012,809612,2299008
Kings,478764,563743,667949,1710456
Spurs,607095,755700,755031,2117826
Raptors,555584,743936,748339,2047859
Jazz,637124,765915,746323,2149362
Wizards,552038,670070,698068,1920176