team,2012ft,2013ft,2014ft,avgft
Hawks,0.715,0.781,0.778,0.758
Nets,0.731,0.753,0.748,0.744
Celtics,0.776,0.777,0.754,0.769
Hornets,0.75,0.737,0.748,0.745
Bulls,0.773,0.779,0.783,0.778
Cavaliers,0.756,0.751,0.751,0.753
Mavericks,0.793,0.795,0.752,0.780
Nuggets,0.701,0.726,0.734,0.720
Pistons,0.699,0.67,0.703,0.691
Warriors,0.79,0.753,0.768,0.770
Rockets,0.754,0.712,0.715,0.727
Pacers,0.746,0.779,0.756,0.760
Clippers,0.711,0.73,0.71,0.717
Lakers,0.692,0.757,0.741,0.730
Grizzlies,0.773,0.741,0.773,0.762
Heat,0.754,0.76,0.741,0.752
Bucks,0.736,0.747,0.757,0.747
Timberwolves,0.742,0.778,0.776,0.765
Pelicans,0.776,0.769,0.751,0.765
Knicks,0.759,0.761,0.769,0.763
Thunder,0.828,0.806,0.754,0.796
Magic,0.755,0.763,0.729,0.749
76ers,0.729,0.71,0.676,0.705
Suns,0.744,0.758,0.76,0.754
Trail Blazers,0.776,0.815,0.801,0.797
Kings,0.769,0.759,0.762,0.763
Spurs,0.791,0.785,0.78,0.785
Raptors,0.788,0.782,0.787,0.786
Jazz,0.764,0.747,0.721,0.744
Wizards,0.733,0.731,0.742,0.735